Edward Abbey		29-Jan	Indiana, PA	14-Mar	Oracle, AZ	 Complications of Surgery 	 Buried, Cabeza Prieta Desert, Pima County, AZ	 Male			 Straight	 Author		 United States	Desert Solitaire	Jonathan Troy|The Brave Cowboy|Fire on the Mountain|Desert Solitaire|Black Sun|The Monkey Wrench Gang|The Journey Home|Abbey's Road|Good News|Down the River|The Fool's Progress|One Life at a Time|Hayduke Lives!
Helen Garner		7-Nov	Geelong, Victoria, Australia					 Female			 Straight	 Author		 Australia	The First Stone	Monkey Grip|Honor & Other People's Children: two stories|The Children's Bach|Postcards from Surfers|La Mama, the Story of a Theatre|Cosmo Cosmolino|The First Stone: Some Questions about Sex and Power|True Stories: Selected Non-Fiction|My Hard Heart: Selected Fictions|The Feel of Steel|Joe Cinque's Consolation|The Spare Room
Elizabeth Cleghorn Gaskell	 Elizabeth Cleghorn Stevenson	29-Sep	London, England	12-Nov	Alton, Hampshire, England	 Heart Failure	 Buried, Brook Street Unitarian Chapel, Knutsford, Cheshire, England	 Female	Unitarian		 Straight	 Author		 England	Cranford	
Henry Louis Gates, Jr.		16-Sep	Keyser, WV					 Male	 Christian		 Straight	 Author, 		 United States	The Signifying Monkey	The Signifying Monkey: Towards a Theory of Afro-American Literary Criticism|Colored People: A Memoir
Tom Gegax		 c. 						 Male			 Straight	 Author, Business	http://www.gegax.com/	 United States	 Tires Plus, later self-help guru	Winning in the Game of Life: Self-Coaching Secrets for Success|By The Seat of Your Pants: The No-Nonsense Business Management Guide|The Big Book of Small Business: You Don't Have to Run Your Business by the Seat of Your Pants
Antonio Genovesi		1-Nov	 Castiglione, Italy	22-Sep	Naples, Italy	 unspecified		 Male			 Straight	 Author, 		 Italy	Lezioni di Commercio	Elementa Metaphysicae|Logica|Lezioni di Commercio
Phyllis George		25-Jun	Denton, TX					 Female			 Straight	 Author		 United States	 Miss America 1971	
Hugo Gernsback	 Hugo Gernsbacher	16-Aug	 Luxembourg, Luxembourg	19-Aug	New York City	 unspecified		 Male			 Straight	 Author		 United States	 Founded 	
Masha Gessen		13-Jan	Moscow, Russia					 Female	Jewish			 Author		 United States 	The Man Without a Face	Dead Again: The Russian Intelligentsia After Communism|Ester and Ruzya: How My Grandmothers Survived Hitler's War and Stalin's Peace|Blood Matters: From Inherited Illness to Designer Babies, How the World & I Found Ourselves in the Future of the Gene|Perfect Rigour: A Genius and the Mathematical Breakthrough of the Century|The Man Without a Face: The Unlikely Rise of Vladimir Putin|Words Will Break Cement: The Passion of Pussy Riot|The Brothers: The Road to an American Tragedy
William Gibson	 William Ford Gibson	17-Mar	Conway, SC					 Male			 Straight	 Author	http://www.williamgibsonbooks.com/	 United States	 Pioneer of Cyberpunk science fiction	Neuromancer|Count Zero|Mona Lisa Overdrive|The Difference Engine|Virtual Light|Idoru|All Tomorrow's Parties|Pattern Recognition
André Gide	 André Paul Guillaume Gide	22-Nov	Paris, France	19-Feb	Paris, France	Pneumonia	 Buried, Cimetière de Cuverville, Cuverville, France	 Male	 Protestant 		Bisexual	 Author		 France	Le Voyage d'Urien	Les Cahiers d'André Walter|Le Voyage d'Urien|Les Nourritures Terrestres|Marshlands|Le Prométhée mal Enchaîné|L'Immoraliste|La Porte Étroite|La Symphonie Pastorale|Les Caves du Vatican|Corydon|Les Faux-Monnayeurs|Si le Grain ne Meurt|Voyage au Congo|Retour de l'U.R.S.S.|Retouches à mon retour de l'U.R.S.S.|Journal, 1889–1939
Barry Gifford		18-Oct	Chicago, IL					 Male			 Straight	 Author	http://www.barrygifford.com/	 United States	Wild at Heart	The Blood of the Parade and Other Poems|Coyote Tantras and Other Poems|A Boy's Novel|My Mother's People|Persimmons: Poems for Paintings|Jack's Book: An Oral Biography of Jack Kerouac|The Straight Man|Landscape with Traveler: The Pillow Book of Francis Reeves|Port Tropique|Beautiful Phantoms: Selected Poems, 1968-1980|The Neighborhood of Baseball: A Personal History of the Chicago Cubs|Francis Goes to the Seashore|An Unfortunate Woman|Saroyan: A Biography|The Devil Thumbs a Ride & Other Unforgettable Films|A Day at the Races: The Education of a Racetracker|Ghosts No Horse Can Carry: Collected Poems, 1967-1987|Wild at Heart: The Story of Sailor and Lula|Sailor's Holiday: The Wild Life of Sailor & Lula|New Mysteries of Paris|A Good Man to Know|Night People|Arise and Walk|Baby Cat-Face|Perdita Durango|The Phantom Father: A Memoir|Bordertown|The Sinaloa Story|Wyoming|My Last Martini|The Lost Christmas & Other Stories: A Holiday Trilogy|Out of the Past: Adventures in Film Noir|Replies to Wang Wei: Poems|American Falls: The Collected Short Stories|The Rooster Trapped in the Reptile Room: A Barry Gifford Reader|Do the Blind Dream?|Back in America: New Poems|The Stars Above Veracruz|Memories from a Sinking Ship|The Cavalry Charges: Writings on Books, Film and Music|The Imagination of the Heart
Elizabeth Gilbert		18-Jul	Waterbury, CT					 Female			 Straight	 Author	http://www.elizabethgilbert.com/	 United States	Eat, Pray, Love	Pilgrims|Stern Men|The Last American Man|Eat, Pray, Love
Ellen Gilchrist		20-Feb	Vicksburg, MS					 Female			 Straight	 Author		 United States	In the Land of Dreamy Dreams	The Land Surveyor's Daughter|In the Land of Dreamy Dreams|The Annunciation|Victory Over Japan|Drunk with Love|Falling Through Space|The Anna Papers|Light Can Be Both Wave and Particle|Net of Jewels|Starcarbon|Anabasis|The Courts of Love|Sarah Conley|The Cabal|Collected Stories
Karl Gjellerup	 Karl Adolph Gjellerup	2-Jun	 Roholte, Denmark	11-Oct	 Klotzsche, Germany	 unspecified		 Male	Buddhist		 Straight	 Author, 		 Denmark	The Pilgrim Kamanita	An Idealist|Heredity and Morals|Hawthome|The Apprentice of the Teutons|Spirits and Times|A Classical Month|Wander Year|Hagbard and Signe|The Book of my Love|King Hjarne|The Mill|At the Border|Toxin and Antitoxin|Fables|From Spring to Autumn|Two Fragments|The Soothsayer|The Pilgrim Kamanita|The World Travellers|The Pilgrim Kamanita: A Legendary Romance|Ripe for Life|Friends of God|The Golden Bough|Romulus
James Gleick		1-Aug	New York City					 Male			 Straight	 Author	http://www.around.com/	 United States	Chaos: Making a New Science	Chaos: Making a New Science|Nature's Chaos|Genius: The Life and Science of Richard Feynman|Faster: The Acceleration of Just About Everything|What Just Happened: A Chronicle from the Electronic Frontier|Isaac Newton|The Information: A History, A Theory, A Flood
Louise Glück	 Louise Elisabeth Glück	22-Apr	New York City					 Female			 Straight	 Author		 United States	The Wild Iris	Firstborn|The House on Marshland|Descending Figure|The Triumph of Achilles|Ararat|The Wild Iris|Proofs and Theories: Essays on Poetry|Meadowlands|Vita Nova|The Seven Ages
Jim Goad	 James Thaddeus Goad	12-Jun	Philadelphia, PA					 Male	 Other		 Straight	 Author	http://www.jimgoad.net/	 United States	ANSWER Me!	The Redneck Manifesto|Shit Magnet
Rumer Godden	 Margaret Rumer Godden	10-Dec	 Eastbourne, Essex, England	8-Nov	 Thornhill, Dumfriesshire, Scotland	 unspecified		 Female	Roman Catholic		 Straight	 Author	http://www.rumergodden.com/	 England	The River	
Goethe	 Johann Wolfgang von Goethe	28-Aug	Frankfurt am Main, Germany	22-Mar	Weimar, Germany	 unspecified	 Buried, Historischer Friedhof, Weimar, Germany	 Male			 Straight	 Author, 		 Germany	 Most influential German writer	
Nikolai Gogol	 Nikolai Vasilyevich Gogol	19-Mar	 Sorochintsky, Poltava, Ukraine	21-Feb	Moscow, Russia	 Starvation	 Buried, 	 Male	Russian Orthodox		Gay	 Author		 Russia	Dead Souls	
Jake Goldenflame		 ?						 Male			Bisexual	 Author		 United States	Overcoming Sexual Terrorism	Overcoming Sexual Terrorism: 40 ways to protect your children from sexual predators
Oliver Goldsmith		10-Nov	 Kilkenny West, County Westmeath, Ireland	4-Apr	London, England	 unspecified	 Buried, Temple Church, London, England	 Male				 Author, Socialite		 England	The Vicar of Wakefield	
Nadine Gordimer		20-Nov	 Springs, Transvaal, South Africa	13-Jul	Johannesburg, South Africa	 unspecified		 Female	Atheist		 Straight	 Novelist		 South Africa	 South African novelist	The Lying Days|A World of Strangers|Occasion for Loving|The Late Bourgeois World|A Guest of Honour|The Conservationist|Burger's Daughter|July's People|A Sport of Nature|My Son's Story|None to Accompany Me|The House Gun|The Pickup|Loot and Other Stories
Edward Gorey	 Edward St. John Gorey	22-Feb	Chicago, IL	15-Apr	 Hyannis, MA	 Heart Failure	 Cremated (ashes scattered in Barnstable Harbor, MA)	 Male			Asexual	 Author		 United States	Amphigorey	The Doubtful Guest|The Hapless Child|The Gilded Bat|The Deranged Cousins: or, Whatever|Amphigorey|Amphigorey Too|Amphigorey Also|The Haunted Tea-Cosy: A Dispirited and Distasteful Diversion for Christmas|The Headless Bust: A Melancholy Meditation on the False Millennium|Ascending Peculiarity: Edward Gorey on Edward Gorey
Oskar Maria Graf		22-Jul	 Berg, Bavaria, Germany	28-Jun	New York City	Pneumonia	 Buried, Alter Bogenhausener Friedhof, Munich, Germany	 Male			 Straight	 Author		 Germany	Wir sind Gefangene	
Sue Grafton	 Sue Taylor Grafton	24-Apr	Louisville, KY					 Female			 Straight	 Author	http://www.suegrafton.com/	 United States	A Is for Alibi	Keziah Dane|The Lolly-Madonna War|A Is for Alibi
Mary Graham	 Mary L. Wissler	 c. 						 Female			 Straight	 Author		 United States	 Wife of Donald Graham	The Morning After Earth Day|Democracy by Disclosure: The Rise of Technopopulism|Full Disclosure: The Perils and Promise of Transparency
Stedman Graham		6-Mar	 Whitesboro, NJ					 Male			 Straight	 Author	http://www.stedmangraham.com/	 United States	 Oprah's boyfriend, self-help author	You Can Make It Happen: A Nine-Step Plan for Success|Build Your Own Life Brand!|Nine Steps to Success: Teens Can Make it Happen|Move Without the Ball: Put Your Skills and Your Magic to Work for You|Who Are You? A Success Process for Building your Life's Foundation
Günter Grass	 Günter Wilhelm Grass	16-Oct	Danzig, Germany	13-Apr	 Luebeck, Germany	 unspecified		 Male			 Straight	 Author		 Germany	 German novelist, 	
C. Hartley Grattan	 Clinton Hartley Grattan	19-Oct	Wakefield, MA	25-Jun	Austin, TX	 unspecified		 Male				 Author, 		 United States	The Southwest Pacific	
James Grauerholz		14-Dec	Coffeyville, KS					 Male	Jewish		Matter of Dispute	 Author		 United States	 William S. Burrough's assistant	
James Gray		30-Jun	Minneapolis, MN	6-Aug	Stamford, CT	 unspecified		 Male			 Straight	 Author		 United States	Shoulder the Sky	The Penciled Frown|Shoulder the Sky|Wake and Remember|Wings of Great Desire|The Illinois|Vagabond Path|Pine, Stream & Prairie: Wisconsin and Minnesota in Profile|Open Wide the Door: The Story of the University of Minnesota|Education for Nursing: A History of the University of Minnesota School|Edna St. Vincent Millay
Mike Gray	 H. Michael Gray	26-Oct	Darlington, IN	30-Apr	Hollywood Hills, CA	 Heart Failure		 Male			 Straight	 Author, 		 United States	The China Syndrome	The Warning: Accident at Three Mile Island|Angle of Attack: Harrison Storms and the Race to the Moon|Drug Crazy: How We Got Into This Mess and How We Can Get Out|The Death Game: Capital Punishment and the Luck of the Draw
Horace Greeley		3-Feb	 Amherst, NH	29-Nov	New York City	 unspecified	 Buried, 	 Male	Unitarian		 Straight	 Author, Politician		 United States	The Tribune	Hints Toward Reforms|Glances at Europe|History of the Struggle for Slavery Extension|Overland Journey to San Francisco|The American Conflict|Recollections of a Busy Life|Essays on Political Economy|What I know of Farming
Brian Greene	 Brian R. Greene	9-Feb	New York City					 Male				 Author, 		 United States	The Elegant Universe	The Elegant Universe|The Fabric of the Cosmos
Melissa Fay Greene		30-Dec	Macon, GA					 Female	Jewish		 Straight	 Author		 United States	Praying for Sheetrock	Praying for Sheetrock: A Work of Nonfiction|The Temple Bombing|Last Man Out: The Story of the Springhill Mine Disaster|There Is No Me Without You: One Woman's Odyssey to Rescue Africa's Children|No Biking in the House Without a Helmet
John Howard Griffin		16-Jul	Dallas, TX	9-Sep	Fort Worth, TX	Diabetes complications	 Buried, Mansfield Cemetery, Mansfield, TX	 Male	Roman Catholic		 Straight	 Author		 United States	Black Like Me	The Devil Rides Outside|Nuni|Land of the High Sky|Black Like Me|The Church and the Black Man|A Time to be Human
Andy Griffiths		3-Sep	Melbourne, Victoria, Australia					 Male				 Author	http://www.andygriffiths.com.au/	 Australia	The Day My Bum Went Psycho	Just Annoying!|Just Tricking!|Just Stupid!|Just Crazy!|Just Kidding!|Just Disgusting!|The Day My Bum Went Psycho: Based on a True Story|Zombie Bums from Uranus|The Bad Book|Bumageddon: The Final Pongflict|Just Macbeth!
David Grossman		25-Jan	Jerusalem, Israel					 Male	Jewish		 Straight	 Author		 Israel	The Smile of the Lamb	The Smile of the Lamb|See Under: Love|The Yellow Wind|The Book of Intimate Grammar|Sleeping on a Wire: Conversations with Palestinians in Israel|The Zig-Zag Kid|You Shall Be My Knife|Someone to Run With|Riki's Playgroup
Margaret Peterson Haddix	 Margaret Peterson	9-Apr	 Washington Courthouse, OH					 Female			 Straight	 Author		 United States	 Juvenile novelist, 	Just Ella|The Girl with 500 Middle Names|Among the Hidden|Turnabout|Because of Anya|Among the Imposters|Among the Betrayed|Among the Barons|Escape From Memory|Say What?
Mark Haddon		1962	Northampton, England					 Male			 Straight	 Author		 England	The Curious Incident	The Curious Incident of the Dog in the Night-time
Jessica Hagedorn	 Jessica Tarahata	1949	Manila, Philippines					 Female	Roman Catholic		 Straight	 Author, Artist		 United States	Dogeaters	Dangerous Music|Pet Food and Tropical Apparitions|Dogeaters|Danger and Beauty|The Gangster of Love
Richard Hakluyt		 c. 	London, England	23-Nov	London, England	 unspecified	 Buried, 	 Male				 Author		 England	Voiages and Discoveries of the English nation	
Elizabeth Sanderson Haldane		27-May	Edinburgh, Scotland	24-Dec	 Auchterarder, Perth, Scotland	 unspecified		 Female				 Author		 Scotland	Descartes: His Life and Times	Descartes: His Life and Times|The British Nurse in Peace and War|George Eliot and Her Times: A Victorian study|Mrs. Gaskell and Her Friends|The Scotland of Our fathers: A Study of Scottish Life in the Nineteenth Century|Scots Gardens in Old Times (1200-1800)|From One Century to Another
Edward Everett Hale		3-Apr	Boston, MA	10-Jun	Roxbury, MA	 unspecified		 Male	Unitarian		 Straight	 Author		 United States	The Man Without a Country	Kansas and Nebraska|If, Yes, and Perhaps|The Ingham Papers|Sybaris and Other Homes|His Level Best, and Other Stories|In His Name|Franklin in France|East and West|New England Boyhood|James Russell Lowell and His Friends|Memories of a Hundred Years
Lucretia Peabody Hale		2-Sep	Boston, MA	12-Jun	Belmont, MA	 unspecified		 Female	Unitarian		 Straight	 Author		 United States	The Peterkin Papers	The Struggle for Life|The Service of Sorrow|Six of One by Half a Dozen of the Other|The Wolf at the Door|The Peterkin Papers|The Last of the Peterkins with Others of Their Kin
Sarah Josepha Hale	 Sarah Josepha Buell	24-Oct	Newport, NH	30-Apr	Philadelphia, PA	 unspecified	 Buried, 	 Female			 Straight	 Author		 United States	 Editor, 	The Genius of Oblivion|Northwood, a Tale of New England|Poems for Our Children|Woman's Record; or, Sketches of Distinguished Women
Ludovic Halévy		1-Jan	Paris, France	8-May	Paris, France	 unspecified		 Male				 Author		 France	 French vaudevillain author	
Joseph Hall		1-Jul	 Ashby-de-la-Zouch, Leicestershire, England	8-Sep	 Higham, Norfolk, England	 unspecified		 Male	Anglican/Episcopalian		 Straight	 Author		 England	Virgidemiarum	Virgidemiarum: Sixe Bookes|The King's Prophecie|Mundus Alter et Idem|Heaven upon Earth|Characters of Vertues and Vices|An Humble Remonstrance to the High Court of Parliament
John Maxwell Hamilton		28-Mar	Evanston, IL					 Male				 Author		 United States	Journalism's Roving Eye	Main Street America and the Third World|Edgar Snow: A Biography|Entangling Alliances: How the Third World Shapes Our Lives|Hold the Press: The Inside Story on Newspapers|Casanova Was a Book Lover: And Other Naked Truths and Provocative Curiosities about the Writing, Selling, and Reading of Books|Journalism's Roving Eye: A History of American Foreign Reporting
Dashiell Hammett	 Samuel Dashiell Hammett	27-May	St. Mary's County, MD	10-Jan	New York City	Cancer - Lung	 Buried, 	 Male			 Straight	 Author		 United States	The Maltese Falcon	Red Harvest|The Dain Curse|The Continental Op|The Maltese Falcon|The Glass Key|The Thin Man
Helene Hanff	 Helene Marjorie Hanff	15-Apr	Philadelphia, PA	9-Apr	New York City	Pneumonia	 Buried, Mount Lebanon Cemetery, Queens, NY	 Female	Jewish			 Author		 United States	84, Charing Cross Road	Underfoot in Show Business|84, Charing Cross Road|The Duchess of Bloomsbury Street|Q's Legacy|A Letter from New York
Barry Hannah		23-Apr	Clinton, MS	1-Mar	Oxford, MS	 Natural Causes		 Male			 Straight	 Author		 United States	High Lonesome	Geronimo Rex|Nightwatchmen|Airships|Ray|The Tennis Handsome|Captain Maximus|Hey Jack!|Boomerang|Never Die|Bats Out of Hell|High Lonesome|Yonder Stands Your Orphan
Joseph Hansen		19-Jul	Aberdeen, SD	24-Nov	Laguna Beach, CA	 Heart Failure		 Male			Bisexual	 Author	http://www.blogger.com/profile/3670281	 United States	 Dave Brandstetter detective series	Known Homosexual|Tarn House|Fadeout|Death Claims|Long Leaf|Troublemaker|The Man Everybody Was Afraid Of|Skinflick|Dog: And Other Stories|A Smile in His Lifetime|Backtrack|Gravedigger|Job's Year|Brandstetter and Others|Nightwork|Steps Going Down|The Little Dog Laughed|Early Graves|Bohannon's Book: Five Mysteries|Obedience|The Boy Who Was Buried This Morning|A Country of Old Men|Living Upstairs|Bohannon's Country: Mystery Stories|The Jack of Hearts|A Few Doors West of Hope|Ghosts: And Other Poems|The Cutbank Path|Bohannon's Women
